-,-,-
3, -247, 1001
19, -211, 1021
53, -84, 1027
81, -57, 1026
101, -84, 969
101, -84, 969
90, -18, 1018
130, -83, 996
187, -180, 1007
178, -243, 1023
196, -216, 1011
204, -185, 1005
204, -185, 1005
266, -195, 1007
276, -134, 1021
330, 213, 1000
316, 513, 1039
315, 448, 989
288, 477, 1033
295, 583, 992
295, 583, 992
193, 771, 972
256, 799, 1061
284, 461, 915
173, 51, 1097
173, 51, 1097
182, -400, 1017
57, -694, 1010
30, -745, 993
-139, -821, 986
-202, -771, 1020
-200, -622, 1020
-264, -419, 1006
-331, -376, 1002
-333, -158, 1001
-280, -38, 1008
-280, -38, 1008
-233, 66, 1053
-169, 95, 671
52, 166, 887
-,-,-
-108, -218, 1017
-31, -196, 1015
-24, -289, 1017
40, -320, 1015
131, -269, 1011
212, -190, 1009
297, -98, 1007
297, -98, 1007
339, -41, 1018
373, -34, 1008
409, -9, 1022
369, 35, 1001
340, 122, 1031
291, 262, 1031
291, 262, 1031
256, 587, 1005
282, 677, 1019
316, 570, 1000
235, 538, 996
130, 529, 1094
130, 529, 1094
-96, 284, 949
214, 104, 1029
44, -224, 1046
10, -435, 953
-125, -607, 1018
-126, -700, 1011
-54, -626, 1009
-54, -626, 1009
-98, -499, 1007
-39, -394, 1012
-215, -360, 983
-75, -194, 898
-181, -252, 1009
-268, -230, 780
-363, -108, 971
-265, -135, 945
-213, -7, 1039
-114, 157, 1003
-114, 157, 1003
-27, 138, 883
-,-,-
-25, -145, 1007
-26, -220, 1003
-44, -274, 1018
7, -305, 1010
7, -305, 1010
71, -192, 1016
119, -227, 1022
172, -344, 999
264, -328, 987
342, -248, 1006
397, -136, 1029
435, -23, 1003
435, -23, 1003
431, 176, 1030
448, 250, 1023
431, 488, 996
383, 682, 984
374, 700, 1018
374, 700, 1018
356, 692, 1029
365, 660, 974
343, 523, 990
207, 305, 1012
403, 251, 814
403, 251, 814
179, -25, 1028
99, -299, 1000
12, -552, 1018
-116, -765, 1014
-151, -783, 986
-166, -660, 1009
-287, -603, 969
-223, -648, 947
-223, -648, 947
-205, -511, 1017
-217, -354, 1025
-211, -149, 992
-211, -60, 984
-152, 6, 922
-162, 77, 1017
-142, 91, 988
-142, 91, 988
-,-,-
33, -223, 1017
33, -223, 1017
-6, -269, 1011
68, -278, 1010
115, -311, 1019
136, -244, 1023
148, -251, 1001
211, -282, 984
271, -216, 1024
376, -96, 1018
376, -96, 1018
437, -16, 1016
427, 163, 1005
439, 245, 1022
411, 322, 1012
393, 547, 1009
348, 710, 982
348, 710, 982
335, 760, 987
327, 649, 1011
356, 508, 937
272, 392, 1022
272, 392, 1022
204, 188, 1010
158, -38, 1018
101, -205, 1014
71, -372, 989
-53, -560, 1020
-190, -688, 968
-241, -709, 1003
-215, -579, 1013
-215, -579, 1026
-280, -435, 1026
-266, -404, 1007
-303, -383, 1012
-242, -393, 894
-263, -248, 810
-254, -159, 948
-176, -78, 992
-88, 11, 952
-49, -30, 1019
-,-,-
-9, -306, 1035
36, -283, 992
4, -219, 1005
43, -320, 1016
43, -320, 1016
102, -292, 1017
138, -403, 997
185, -279, 1028
219, -249, 1011
290, -223, 1023
332, -212, 977
396, -74, 1018
396, -74, 1018
457, 33, 1020
432, 113, 1021
412, 253, 1023
338, 443, 1019
320, 650, 1018
264, 735, 1016
264, 735, 1016
253, 630, 1013
200, 558, 1027
268, 554, 920
211, 431, 990
143, 307, 1006
143, 307, 1006
100, 35, 1035
20, -123, 1007
24, -256, 995
-33, -505, 1027
-36, -617, 991
-103, -690, 1004
-108, -547, 1008
-108, -547, 1008
-104, -462, 1013
-108, -405, 1000
-120, -376, 1028
-122, -400, 992
-194, -283, 941
-152, -147, 1002
-116, -102, 949
-162, 20, 1012
-81, 101, 991
-,-,-
-21, -347, 1018
34, -291, 1000
71, -327, 1013
90, -289, 1011
137, -332, 1022
148, -295, 1015
179, -188, 1016
230, -177, 1006
293, -113, 1000
293, -113, 1000
376, -57, 1016
428, 59, 1024
423, 82, 1003
407, 253, 1024
351, 323, 895
351, 323, 994
354, 449, 994
262, 689, 1009
226, 707, 1005
259, 699, 1004
134, 545, 1042
336, 302, 828
336, 302, 828
150, 42, 988
115, -151, 1037
74, -334, 1001
10, -567, 1009
-40, -713, 992
-40, -713, 992
-77, -619, 1015
-68, -497, 998
-184, -408, 1035
-224, -384, 995
-297, -334, 955
-357, -308, 933
-344, -216, 867
-347, -92, 1013
-254, 34, 1024
-254, 34, 1024
-154, 119, 989
-,-,-
-83, -305, 992
55, -318, 1020
40, -274, 987
40, -274, 987
21, -257, 1039
10, -257, 1008
38, -316, 1014
121, -366, 1021
154, -359, 1019
237, -326, 1008
322, -264, 991
322, -264, 991
421, -179, 1030
488, -35, 978
477, 80, 1021
453, 327, 1025
416, 536, 1021
304, 835, 1006
304, 835, 1006
364, 869, 1004
348, 693, 989
402, 626, 935
276, 423, 1038
253, 210, 1015
253, 210, 1015
197, 61, 1025
221, -68, 981
74, -318, 1038
30, -491, 995
-35, -619, 985
-35, -619, 985
-140, -614, 992
-246, -582, 1020
-234, -573, 991
-264, -482, 928
-295, -456, 1033
-360, -399, 967
-343, -247, 971
-337, -200, 1066
-237, -89, 935
-135, 21, 998
-135, 21, 998
-83, 93, 863
31, 232, 992
104, 371, 977
-,-,-
-65, -307, 1010
-48, -270, 1000
-13, -265, 1017
-13, -265, 1017
79, -287, 1008
151, -347, 1016
203, -371, 1022
227, -434, 1008
303, -347, 981
385, -173, 1024
433, -61, 1010
440, 74, 1024
440, 74, 1024
432, 335, 1022
402, 524, 1017
362, 839, 994
423, 630, 1011
392, 697, 997
392, 697, 997
363, 674, 1010
330, 515, 1038
306, 365, 940
331, 123, 1039
164, -260, 999
164, -260, 999
77, -457, 1002
65, -623, 1030
51, -666, 971
-67, -534, 996
-163, -470, 1020
-210, -400, 994
-210, -400, 976
-265, -289, 976
-337, -240, 976
-425, -230, 1008
-422, -184, 1027
-420, -199, 965
-348, -147, 961
-277, -130, 918
-178, 7, 919
-,-,-
-30, -225, 1004
-26, -249, 1017
-23, -292, 1004
-3, -318, 1019
50, -315, 1018
50, -315, 1018
97, -350, 1002
181, -328, 1012
232, -229, 1021
287, -246, 1006
363, -232, 1003
439, -147, 1012
506, 142, 1023
464, 340, 980
464, 340, 980
406, 501, 1034
343, 527, 1015
400, 523, 1014
345, 590, 1007
326, 647, 1011
326, 647, 1011
292, 461, 989
255, 304, 997
181, 123, 1049
156, -84, 971
-16, -390, 1013
-16, -390, 1013
-92, -659, 978
-160, -697, 1016
-241, -659, 1000
-303, -591, 1016
-312, -473, 927
-290, -437, 1034
-305, -335, 1003
-356, -271, 1009
-285, -168, 1002
-217, 11, 1052
-151, 222, 944
-,-,-
10, -271, 1012
108, -282, 1019
124, -285, 1011
