-,-,-
13, -18, 1008
8, -22, 1013
8, -22, 1013
13, -20, 1011
53, -62, 1009
98, -131, 1013
112, -237, 1004
142, -258, 1007
142, -258, 1007
133, -280, 1027
120, -274, 1025
104, -232, 997
49, -179, 1005
4, -14, 964
-50, 241, 1001
-50, 241, 1001
-96, 510, 1032
-102, 522, 989
-50, 315, 1019
-44, 308, 1015
-110, 435, 1002
-66, 348, 1015
24, 42, 1019
24, 42, 1019
20, -109, 988
1, -189, 985
18, -353, 1039
18, -353, 1039
3, -382, 1003
27, -301, 1007
-,-,-
112, -162, 1011
157, -253, 1004
165, -298, 1017
152, -302, 968
130, -251, 960
111, -207, 962
83, -143, 989
83, -143, 989
5, 28, 990
15, -86, 964
-27, -63, 955
-27, -63, 955
-68, 81, 977
-86, 262, 942
-140, 510, 1010
-181, 657, 1007
-60, 243, 1015
-60, 243, 1015
-25, 349, 1003
-37, 380, 1021
-26, 430, 1000
53, 468, 999
63, 197, 1002
63, 197, 1002
59, 66, 1012
32, -222, 964
36, -443, 1026
-,-,-
36, -29, 1012
16, -29, 1007
16, -29, 1007
143, -132, 1010
127, -178, 1011
148, -228, 1004
178, -259, 1014
174, -287, 1030
163, -304, 969
156, -261, 991
156, -261, 991
32, -167, 930
34, -73, 975
41, -65, 956
-42, 77, 988
-42, 77, 988
-88, 269, 1014
-154, 465, 987
-187, 654, 994
-94, 498, 1010
-94, 498, 1010
-55, 537, 1013
-55, 605, 1012
6, 464, 973
40, 356, 979
40, 356, 979
48, 174, 1031
86, -44, 975
82, -295, 981
58, -555, 1020
-,-,-
12, -21, 1008
12, -21, 1008
75, -81, 1009
142, -172, 1009
135, -227, 1010
128, -267, 1012
147, -237, 999
121, -243, 983
121, -243, 983
129, -216, 972
126, -172, 975
57, -168, 968
34, -157, 990
49, -50, 983
49, -50, 983
1, -9, 896
-55, 167, 920
-55, 167, 971
-85, 342, 971
-90, 459, 977
-65, 451, 1023
-54, 386, 1003
-2, 411, 1016
-2, 411, 1016
-23, 509, 1012
16, 473, 1011
22, 347, 997
22, 179, 997
22, 179, 997
6, 40, 1001
-12, -62, 949
5, -204, 1004
5, -204, 1004
-8, -205, 993
22, -352, 1003
-,-,-
36, -34, 1008
97, -147, 1014
157, -239, 1013
112, -203, 998
129, -155, 1000
145, -183, 1028
155, -254, 1014
139, -219, 971
139, -219, 971
98, -163, 990
71, -142, 979
49, -87, 1006
50, -17, 986
50, -17, 986
31, -69, 945
-4, 4, 1007
-47, 83, 988
-47, 83, 988
-87, 190, 954
-91, 326, 960
-117, 489, 1023
-136, 492, 992
-136, 492, 992
-34, 373, 1013
-71, 510, 1012
-8, 444, 995
18, 369, 965
32, 228, 1021
32, 228, 1021
29, 95, 976
36, -42, 1013
32, -153, 994
32, -153, 994
41, -235, 963
30, -310, 1018
13, -358, 1025
-,-,-
28, -8, 1026
43, -79, 994
90, -115, 1013
90, -115, 1013
117, -154, 1002
116, -154, 1007
138, -213, 1044
138, -202, 975
153, -214, 992
119, -218, 991
121, -179, 997
121, -179, 997
114, -187, 945
96, -210, 984
15, -67, 957
-1, 16, 955
-1, 16, 955
-34, 53, 966
-97, 251, 973
-108, 415, 979
-136, 479, 1036
-136, 479, 1036
-109, 472, 997
-26, 351, 1011
-45, 469, 1021
-20, 437, 1002
8, 382, 1016
48, 278, 1000
48, 278, 1000
-,-,-
112, -127, 1011
112, -127, 1011
68, -145, 1013
88, -192, 1020
88, -195, 999
94, -199, 1009
88, -174, 1019
83, -179, 996
83, -179, 996
104, -160, 994
61, -112, 1037
40, -124, 979
26, -63, 980
26, -63, 980
11, 9, 991
-39, 117, 975
-83, 249, 1024
-83, 249, 1024
-85, 305, 1018
-63, 377, 1008
-72, 352, 1001
13, 299, 1010
-29, 449, 1020
21, 404, 1002
21, 404, 1002
39, 325, 1002
38, 242, 1010
21, 46, 989
21, 46, 989
-10, -177, 1000
-,-,-
162, -125, 1008
122, -195, 1013
139, -251, 991
103, -244, 1035
83, -194, 997
94, -214, 992
94, -214, 992
