-,-,-
15, -66, 1007
15, -66, 1007
-177, -210, 1009
-221, -236, 1008
-167, -201, 1018
-232, -189, 994
-208, 17, 993
-189, 184, 1021
-121, 245, 1006
15, 369, 899
15, 369, 899
90, 375, 1000
317, 26, 881
84, 383, 868
84, 383, 868
406, 388, 1018
383, 520, 936
505, 315, 1022
568, 177, 985
510, 40, 961
510, 40, 961
503, -74, 1020
463, -266, 1045
494, -280, 978
344, -580, 930
344, -580, 930
298, -550, 971
93, -667, 1011
83, -472, 1002
32, -419, 1031
-87, -410, 1021
-111, -395, 1014
-155, -388, 943
-253, -286, 1023
-289, -230, 946
-289, -230, 946
-298, -92, 961
-263, 37, 1107
-,-,-
-43, -137, 1002
-42, -234, 1059
-186, -347, 967
-132, -123, 935
-132, -123, 935
-222, -410, 1005
-232, -140, 1002
-202, -112, 962
-119, -50, 977
-114, 135, 980
-48, 335, 1035
49, 385, 991
84, 387, 918
84, 387, 918
131, 391, 980
200, 471, 954
303, 509, 996
303, 509, 996
339, 420, 1010
467, 356, 1023
488, 279, 1023
518, 177, 904
540, 88, 971
540, 88, 971
524, -47, 1023
527, -129, 980
461, -367, 994
430, -700, 965
141, -510, 1000
141, -510, 1000
196, -521, 1006
36, -659, 1020
-116, -777, 1035
-210, -709, 1020
-271, -534, 947
-161, -311, 749
-,-,-
1, -115, 1018
42, -120, 987
-77, -245, 1018
-120, -318, 1014
-125, -207, 1034
-145, -216, 988
-145, -216, 988
7, -6, 850
-351, -117, 1146
-163, -89, 899
-151, 106, 1009
-75, 283, 1008
16, 428, 1008
16, 428, 1008
63, 408, 977
164, 372, 875
147, 460, 1039
261, 521, 981
261, 521, 981
331, 426, 1014
402, 339, 1010
478, 214, 965
557, 81, 1028
638, 15, 1045
638, 15, 1045
640, -98, 1034
569, -240, 979
542, -374, 974
202, -759, 990
227, -466, 1027
227, -466, 1027
41, -650, 983
-60, -693, 1027
-154, -675, 1022
-261, -576, 976
-,-,-
34, -29, 1009
18, -107, 1005
9, -211, 1003
9, -211, 1003
-12, -209, 1014
-52, -259, 1006
-139, -230, 1029
-210, -178, 997
-233, -156, 991
-281, -103, 1013
-210, -4, 1027
-191, 133, 983
-191, 133, 983
-70, 343, 1025
12, 415, 970
123, 501, 928
234, 490, 1011
332, 497, 1008
332, 497, 1008
415, 403, 993
546, 404, 1055
687, 398, 940
686, 155, 1041
682, 18, 1008
682, 18, 1008
613, -176, 997
571, -401, 1022
419, -631, 954
158, -747, 1008
73, -741, 1025
-98, -758, 1016
-211, -668, 991
-211, -668, 991
-292, -499, 984
-326, -365, 926
-355, -217, 1014
-322, -77, 1037
-,-,-
3, -109, 1004
-17, -212, 1004
-47, -239, 1012
-58, -206, 1010
-179, -274, 1019
-193, -219, 930
-66, -157, 927
-320, -37, 1018
-238, 40, 952
-238, 40, 952
-139, 127, 1008
