-,-,-
-429, 101, 223
-429, 101, 223
-397, -51, 333
-330, -110, 508
-295, -163, 442
-226, -126, 383
-99, 138, 282
1, 287, 375
1, 287, 375
8, 411, 513
0, 634, 452
0, 634, 452
-49, 915, 384
-68, 1179, 450
-42, 1437, 411
-78, 1712, 353
-165, 1856, 354
-165, 1856, 354
-150, 1864, 427
-124, 1927, 431
-156, 1954, 486
-135, 1812, 469
-,-,-
-283, 450, 294
-283, 450, 294
-269, 290, 564
-201, 126, 619
-118, -17, 553
-73, -77, 566
-118, -115, 549
-140, -62, 557
-140, -62, 557
-88, 278, 407
2, 635, 294
-2, 1093, 308
-26, 1500, 302
-26, 1500, 302
-103, 1918, 282
-132, 1997, 347
-141, 1997, 401
-170, 1997, 525
-,-,-
-396, 421, 187
-396, 421, 187
-390, 346, 528
-321, 218, 610
-260, 44, 598
-219, -49, 612
-168, -135, 576
-91, -230, 465
-91, -230, 465
-27, -128, 302
-20, 136, 178
-26, 374, 279
26, 617, 309
26, 617, 309
72, 1116, 205
-20, 1536, 298
-70, 1845, 270
-106, 1997, 204
-148, 1997, 394
-,-,-
-399, 505, 323
-282, 339, 368
-255, 152, 331
-273, 2, 177
-273, 2, 177
-218, -10, 191
-137, 141, 356
-93, 304, 387
-155, 436, 288
-229, 509, 266
-229, 509, 266
-243, 704, 293
-202, 877, 430
-169, 918, 544
-102, 1033, 362
-144, 1363, 341
-163, 1571, 497
-213, 1575, 591
-213, 1575, 591
-,-,-
-373, 469, 169
-256, 438, 260
-227, 338, 230
-230, 224, 281
-230, 224, 281
-203, 94, 287
-125, -27, 332
-47, -62, 441
-8, 113, 458
-8, 113, 458
-70, 490, 374
-86, 684, 334
-47, 819, 366
13, 1130, 292
13, 1130, 292
-17, 1602, 329
-89, 1783, 421
-141, 1795, 266
-131, 1855, 170
-169, 1941, 345
-205, 1841, 553
-,-,-
-428, 453, 30
-382, 396, -41
-354, 294, 166
-294, 178, 227
-223, -49, 250
-181, -217, 358
-115, -248, 444
-115, -248, 444
-47, -185, 499
-15, 3, 518
-13, 295, 326
-20, 545, 306
14, 803, 409
14, 803, 409
9, 1142, 503
-52, 1422, 453
-48, 1702, 220
-48, 1702, 220
-52, 1967, 179
-165, 1997, 267
-,-,-
-282, 163, 156
-279, 139, 41
-279, 139, 41
-286, 107, 194
-246, 93, 340
-171, 11, 411
-131, -70, 388
-131, -70, 388
-122, 41, 428
-98, 300, 407
-87, 458, 422
-6, 459, 346
-6, 459, 346
6, 723, 194
0, 1138, 274
-14, 1519, 439
-78, 1768, 455
-78, 1768, 455
-168, 1967, 376
-194, 1997, 385
-202, 1997, 500
-328, 1983, 811
-,-,-
-412, 472, 366
-331, 306, 530
-241, 51, 292
-241, 51, 292
-207, -71, 178
-133, -6, 293
-77, 166, 432
-68, 305, 373
-157, 419, 219
-157, 419, 219
-161, 599, 212
-159, 950, 354
-162, 1217, 493
-168, 1268, 390
-170, 1393, 250
-224, 1794, 166
-,-,-
-338, 517, 282
-222, 354, 174
-257, 215, 250
-241, 124, 358
-187, -9, 466
-187, -9, 466
-116, -48, 462
-101, 88, 429
-130, 323, 343
-139, 496, 448
-83, 706, 484
-83, 706, 484
-35, 1080, 411
-85, 1392, 344
-183, 1624, 367
-197, 1779, 285
-202, 1899, 323
-238, 1893, 456
-238, 1893, 456
-268, 1807, 491
-,-,-
-332, 272, 209
-332, 272, 209
-288, 219, 321
-216, 73, 413
-143, -63, 406
-79, -134, 410
-77, -43, 416
-77, -43, 416
-83, 204, 299
-53, 412, 335
-16, 653, 366
-30, 960, 396
-30, 960, 396
-160, 1374, 368
-267, 1717, 379
-320, 1980, 406
-335, 1987, 511
-338, 1948, 553
-,-,-
-444, 382, 319
-392, 383, 284
-288, 208, 273
-288, 208, 273
-200, 54, 358
-115, -22, 343
-106, -45, 371
-105, 116, 396
-74, 313, 449
-74, 313, 449
-38, 443, 486
-35, 725, 397
-95, 1223, 397
-205, 1668, 462
-272, 1865, 527
-329, 1994, 530
-329, 1994, 530
-419, 1997, 569
-486, 1997, 648
-,-,-
-329, 244, 177
-364, 235, 142
-364, 235, 142
-333, 238, 356
-278, 162, 493
-203, 20, 425
-155, -83, 398
-98, -49, 375
-98, -49, 375
-43, 146, 404
-24, 337, 423
-12, 412, 377
2, 744, 234
2, 744, 234
-79, 1273, 287
-180, 1577, 466
-260, 1783, 427
-362, 1975, 285
-420, 1988, 353
-454, 1991, 509
-,-,-
-310, 190, 47
-308, 157, 183
-321, 196, 344
-237, 164, 379
-237, 164, 379
-155, 153, 340
-147, 184, 335
-239, 254, 289
-253, 336, 307
-208, 580, 334
-192, 836, 384
-192, 836, 384
-200, 941, 405
-255, 1105, 364
-333, 1446, 248
-428, 1667, 338
-464, 1672, 503
-,-,-
-328, 135, 244
-252, 50, 150
-205, -70, 228
-130, -83, 190
-76, 26, 164
-76, 26, 164
-58, 220, 227
-70, 428, 192
-63, 484, 231
-51, 777, 228
-51, 777, 228
-136, 1317, 308
-308, 1557, 467
-385, 1590, 392
-377, 1604, 371
-391, 1744, 378
-463, 1765, 485
-,-,-
-376, 351, 20
-376, 351, 20
-312, 258, -35
-299, 228, 49
